dataset,index,target_mode,method,view,fraction,recall,budget,gold,ceiling,origin
vt_h2_c3,34,answer_only,DT_target,raw,0.05,0.5769230769230769,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,34,answer_only,DT_target,raw,0.1,0.8846153846153846,33,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,DT_target,raw,0.2,0.9615384615384616,66,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,DT_target,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,34,answer_only,DT_target,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,DT_target,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K1,raw,0.05,0.5384615384615384,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,34,answer_only,FT_K1,raw,0.1,0.8076923076923077,33,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K1,raw,0.2,0.8846153846153846,66,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K1,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,34,answer_only,FT_K1,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K1,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K3,raw,0.05,0.5384615384615384,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,34,answer_only,FT_K3,raw,0.1,0.8076923076923077,33,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K3,raw,0.2,0.8846153846153846,66,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K3,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,34,answer_only,FT_K3,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,34,answer_only,FT_K3,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,39,answer_only,DT_target,raw,0.05,0.5714285714285714,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,39,answer_only,DT_target,raw,0.1,0.7857142857142857,34,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,DT_target,raw,0.2,0.8571428571428571,67,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,DT_target,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,39,answer_only,DT_target,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,DT_target,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K1,raw,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,39,answer_only,FT_K1,raw,0.1,0.7857142857142857,34,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K1,raw,0.2,0.9285714285714286,67,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K1,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,39,answer_only,FT_K1,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K1,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K3,raw,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,39,answer_only,FT_K3,raw,0.1,0.7857142857142857,34,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K3,raw,0.2,0.9285714285714286,67,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K3,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,39,answer_only,FT_K3,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,39,answer_only,FT_K3,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,40,answer_only,DT_target,raw,0.05,0.5862068965517241,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,40,answer_only,DT_target,raw,0.1,0.8275862068965517,34,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,DT_target,raw,0.2,0.9310344827586207,68,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,DT_target,density,0.05,0.5862068965517241,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,40,answer_only,DT_target,density,0.1,1.0,34,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,DT_target,density,0.2,1.0,68,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K1,raw,0.05,0.5172413793103449,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,40,answer_only,FT_K1,raw,0.1,0.6551724137931034,34,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K1,raw,0.2,0.8620689655172413,68,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K1,density,0.05,0.5862068965517241,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,40,answer_only,FT_K1,density,0.1,1.0,34,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K1,density,0.2,1.0,68,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K3,raw,0.05,0.5172413793103449,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,40,answer_only,FT_K3,raw,0.1,0.6551724137931034,34,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K3,raw,0.2,0.8620689655172413,68,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K3,density,0.05,0.5862068965517241,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,40,answer_only,FT_K3,density,0.1,1.0,34,29,1.0,reserved_validation
vt_h2_c3,40,answer_only,FT_K3,density,0.2,1.0,68,29,1.0,reserved_validation
vt_h2_c3,43,answer_only,DT_target,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,43,answer_only,DT_target,raw,0.1,0.9,34,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,DT_target,raw,0.2,0.9666666666666667,68,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,DT_target,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,43,answer_only,DT_target,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,DT_target,density,0.2,1.0,68,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K1,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,43,answer_only,FT_K1,raw,0.1,0.6,34,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K1,raw,0.2,0.8666666666666667,68,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K1,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,43,answer_only,FT_K1,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K1,density,0.2,1.0,68,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K3,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,43,answer_only,FT_K3,raw,0.1,0.6,34,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K3,raw,0.2,0.8666666666666667,68,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K3,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,43,answer_only,FT_K3,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,43,answer_only,FT_K3,density,0.2,1.0,68,30,1.0,reserved_validation
vt_h2_c3,47,answer_only,DT_target,raw,0.05,0.6153846153846154,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,47,answer_only,DT_target,raw,0.1,0.9230769230769231,33,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,DT_target,raw,0.2,0.9615384615384616,66,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,DT_target,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,47,answer_only,DT_target,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,DT_target,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K1,raw,0.05,0.5384615384615384,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,47,answer_only,FT_K1,raw,0.1,0.6923076923076923,33,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K1,raw,0.2,0.9230769230769231,66,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K1,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,47,answer_only,FT_K1,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K1,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K3,raw,0.05,0.5384615384615384,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,47,answer_only,FT_K3,raw,0.1,0.6538461538461539,33,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K3,raw,0.2,0.9230769230769231,66,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K3,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,47,answer_only,FT_K3,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,47,answer_only,FT_K3,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,57,answer_only,DT_target,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,57,answer_only,DT_target,raw,0.1,0.9666666666666667,34,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,DT_target,raw,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,DT_target,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,57,answer_only,DT_target,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,DT_target,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K1,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,57,answer_only,FT_K1,raw,0.1,0.7,34,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K1,raw,0.2,0.9333333333333333,67,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K1,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,57,answer_only,FT_K1,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K1,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K3,raw,0.05,0.5,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,57,answer_only,FT_K3,raw,0.1,0.6666666666666666,34,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K3,raw,0.2,0.9333333333333333,67,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K3,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,57,answer_only,FT_K3,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,57,answer_only,FT_K3,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,69,answer_only,DT_target,raw,0.05,0.6153846153846154,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,69,answer_only,DT_target,raw,0.1,0.8076923076923077,33,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,DT_target,raw,0.2,0.9230769230769231,66,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,DT_target,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,69,answer_only,DT_target,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,DT_target,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K1,raw,0.05,0.6153846153846154,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,69,answer_only,FT_K1,raw,0.1,0.7307692307692307,33,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K1,raw,0.2,0.9615384615384616,66,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K1,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,69,answer_only,FT_K1,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K1,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K3,raw,0.05,0.6153846153846154,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,69,answer_only,FT_K3,raw,0.1,0.7307692307692307,33,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K3,raw,0.2,0.9615384615384616,66,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K3,density,0.05,0.6538461538461539,17,26,0.6538461538461539,reserved_validation
vt_h2_c3,69,answer_only,FT_K3,density,0.1,1.0,33,26,1.0,reserved_validation
vt_h2_c3,69,answer_only,FT_K3,density,0.2,1.0,66,26,1.0,reserved_validation
vt_h2_c3,70,answer_only,DT_target,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,70,answer_only,DT_target,raw,0.1,0.8666666666666667,34,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,DT_target,raw,0.2,0.9,67,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,DT_target,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,70,answer_only,DT_target,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,DT_target,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K1,raw,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,70,answer_only,FT_K1,raw,0.1,0.7333333333333333,34,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K1,raw,0.2,0.9333333333333333,67,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K1,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,70,answer_only,FT_K1,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K1,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K3,raw,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,70,answer_only,FT_K3,raw,0.1,0.7333333333333333,34,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K3,raw,0.2,0.9333333333333333,67,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K3,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,70,answer_only,FT_K3,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,70,answer_only,FT_K3,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,74,answer_only,DT_target,raw,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,74,answer_only,DT_target,raw,0.1,0.8214285714285714,34,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,DT_target,raw,0.2,0.9642857142857143,67,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,DT_target,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,74,answer_only,DT_target,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,DT_target,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K1,raw,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,74,answer_only,FT_K1,raw,0.1,0.8214285714285714,34,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K1,raw,0.2,0.9642857142857143,67,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K1,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,74,answer_only,FT_K1,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K1,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K3,raw,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,74,answer_only,FT_K3,raw,0.1,0.7857142857142857,34,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K3,raw,0.2,0.9642857142857143,67,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K3,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,74,answer_only,FT_K3,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,74,answer_only,FT_K3,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,86,answer_only,DT_target,raw,0.05,0.5483870967741935,17,31,0.5483870967741935,reserved_validation
vt_h2_c3,86,answer_only,DT_target,raw,0.1,0.8709677419354839,34,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,DT_target,raw,0.2,0.9032258064516129,67,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,DT_target,density,0.05,0.5483870967741935,17,31,0.5483870967741935,reserved_validation
vt_h2_c3,86,answer_only,DT_target,density,0.1,1.0,34,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,DT_target,density,0.2,1.0,67,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K1,raw,0.05,0.5161290322580645,17,31,0.5483870967741935,reserved_validation
vt_h2_c3,86,answer_only,FT_K1,raw,0.1,0.7096774193548387,34,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K1,raw,0.2,0.8387096774193549,67,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K1,density,0.05,0.5483870967741935,17,31,0.5483870967741935,reserved_validation
vt_h2_c3,86,answer_only,FT_K1,density,0.1,1.0,34,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K1,density,0.2,1.0,67,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K3,raw,0.05,0.5161290322580645,17,31,0.5483870967741935,reserved_validation
vt_h2_c3,86,answer_only,FT_K3,raw,0.1,0.7096774193548387,34,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K3,raw,0.2,0.8387096774193549,67,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K3,density,0.05,0.5483870967741935,17,31,0.5483870967741935,reserved_validation
vt_h2_c3,86,answer_only,FT_K3,density,0.1,1.0,34,31,1.0,reserved_validation
vt_h2_c3,86,answer_only,FT_K3,density,0.2,1.0,67,31,1.0,reserved_validation
vt_h2_c3,88,answer_only,DT_target,raw,0.05,0.5517241379310345,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,88,answer_only,DT_target,raw,0.1,0.8620689655172413,34,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,DT_target,raw,0.2,0.9310344827586207,67,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,DT_target,density,0.05,0.5862068965517241,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,88,answer_only,DT_target,density,0.1,1.0,34,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,DT_target,density,0.2,1.0,67,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K1,raw,0.05,0.5517241379310345,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,88,answer_only,FT_K1,raw,0.1,0.7241379310344828,34,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K1,raw,0.2,0.9310344827586207,67,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K1,density,0.05,0.5862068965517241,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,88,answer_only,FT_K1,density,0.1,1.0,34,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K1,density,0.2,1.0,67,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K3,raw,0.05,0.5517241379310345,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,88,answer_only,FT_K3,raw,0.1,0.7241379310344828,34,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K3,raw,0.2,0.9310344827586207,67,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K3,density,0.05,0.5862068965517241,17,29,0.5862068965517241,reserved_validation
vt_h2_c3,88,answer_only,FT_K3,density,0.1,1.0,34,29,1.0,reserved_validation
vt_h2_c3,88,answer_only,FT_K3,density,0.2,1.0,67,29,1.0,reserved_validation
vt_h2_c3,95,answer_only,DT_target,raw,0.05,0.5161290322580645,18,31,0.5806451612903226,reserved_validation
vt_h2_c3,95,answer_only,DT_target,raw,0.1,0.7741935483870968,35,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,DT_target,raw,0.2,0.8709677419354839,69,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,DT_target,density,0.05,0.5806451612903226,18,31,0.5806451612903226,reserved_validation
vt_h2_c3,95,answer_only,DT_target,density,0.1,1.0,35,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,DT_target,density,0.2,1.0,69,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,FT_K1,raw,0.05,0.5806451612903226,18,31,0.5806451612903226,reserved_validation
vt_h2_c3,95,answer_only,FT_K1,raw,0.1,0.6451612903225806,35,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,FT_K1,raw,0.2,0.9354838709677419,69,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,FT_K1,density,0.05,0.5806451612903226,18,31,0.5806451612903226,reserved_validation
vt_h2_c3,95,answer_only,FT_K1,density,0.1,1.0,35,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,FT_K1,density,0.2,1.0,69,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,FT_K3,raw,0.05,0.5806451612903226,18,31,0.5806451612903226,reserved_validation
vt_h2_c3,95,answer_only,FT_K3,raw,0.1,0.6451612903225806,35,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,FT_K3,raw,0.2,0.8709677419354839,69,31,1.0,reserved_validation
vt_h2_c3,95,answer_only,FT_K3,density,0.05,0.5806451612903226,18,31,0.5806451612903226,reserved_validation
vt_h2_c3,95,answer_only,FT_K3,density,0.1,1.0,35,31,1.0,reserved_validation
