dataset,index,method,target,rise,endpoint_gap,mas
niah_mq_q2,11,FT_answer_K1_restore_query,full_fp64,0.059013054485272665,67.47736465930939,
niah_mq_q2,11,FT_answer_K1_restore_query,answer_fp64,0.0,-1.9218924045562744,
niah_mq_q2,11,FT_answer_K1_restore_query,answer_content_fp64,0.0,-1.7964613437652588,
niah_mq_q2,11,FT_answer_K1_only_query,full,0.1473076923076923,32.5,
niah_mq_q2,11,FT_answer_K1_only_query,answer,0.0,-0.5,
niah_mq_q2,11,FT_answer_K1_only_query,answer_content,0.0,-1.9375,
niah_mq_q2,11,FT_answer_K1_only_query,full_fp64,0.14693845187461313,32.603159070014954,
niah_mq_q2,11,FT_answer_K1_only_query,answer_fp64,0.0,-0.5074492692947388,
niah_mq_q2,11,FT_answer_K1_only_query,answer_content_fp64,0.0,-1.9002143144607544,
niah_mq_q2,11,DT_full_content,full,0.16532697547683922,183.5,
niah_mq_q2,11,DT_full_content,answer,0.0,-2.625,
niah_mq_q2,11,DT_full_content,answer_content,0.0,-3.375,
niah_mq_q2,11,DT_full_content,full_fp64,0.16496561376683563,184.08402061462402,
niah_mq_q2,11,DT_full_content,answer_fp64,0.0,-2.5947251319885254,
niah_mq_q2,11,DT_full_content,answer_content_fp64,0.0,-3.352348804473877,
niah_mq_q2,11,DT_full_content_positive,full,0.16532697547683922,183.5,0.21970026756445532
niah_mq_q2,11,DT_full_content_positive,answer,0.0,-2.625,
niah_mq_q2,11,DT_full_content_positive,answer_content,0.0,-3.375,
niah_mq_q2,11,DT_full_content_positive,full_fp64,0.16496561376683563,184.08402061462402,
niah_mq_q2,11,DT_full_content_positive,answer_fp64,0.0,-2.5947251319885254,
niah_mq_q2,11,DT_full_content_positive,answer_content_fp64,0.0,-3.352348804473877,
niah_mq_q2,11,DT_answer_content,full,0.5271798365122616,183.5,
niah_mq_q2,11,DT_answer_content,answer,0.0,-2.625,
niah_mq_q2,11,DT_answer_content,answer_content,0.0,-3.375,
niah_mq_q2,11,DT_answer_content,full_fp64,0.5277984976276731,184.08402061462402,
niah_mq_q2,11,DT_answer_content,answer_fp64,0.0,-2.5947251319885254,
niah_mq_q2,11,DT_answer_content,answer_content_fp64,0.0,-3.352348804473877,
niah_mq_q2,11,DT_answer_content_positive,full,0.4737738419618527,183.5,0.7630109057375858
niah_mq_q2,11,DT_answer_content_positive,answer,0.0,-2.625,
niah_mq_q2,11,DT_answer_content_positive,answer_content,0.0,-3.375,
niah_mq_q2,11,DT_answer_content_positive,full_fp64,0.4735899215456298,184.08402061462402,
niah_mq_q2,11,DT_answer_content_positive,answer_fp64,0.0,-2.5947251319885254,
niah_mq_q2,11,DT_answer_content_positive,answer_content_fp64,0.0,-3.352348804473877,
niah_mq_q2,11,FT_full_K1,full,0.13235694822888283,183.5,
niah_mq_q2,11,FT_full_K1,answer,0.0,-2.625,
niah_mq_q2,11,FT_full_K1,answer_content,0.0,-3.375,
niah_mq_q2,11,FT_full_K1,full_fp64,0.13291912391442262,184.08402061462402,
niah_mq_q2,11,FT_full_K1,answer_fp64,0.0,-2.5947251319885254,
niah_mq_q2,11,FT_full_K1,answer_content_fp64,0.0,-3.352348804473877,
niah_mq_q2,11,DT_fixed_query,full,0.02944444444444444,67.5,
niah_mq_q2,11,DT_fixed_query,answer,0.0,-1.9375,
niah_mq_q2,11,DT_fixed_query,answer_content,0.0,-1.8125,
niah_mq_q2,11,DT_fixed_query,full_fp64,0.029148509086956664,67.47736465930939,
niah_mq_q2,11,DT_fixed_query,answer_fp64,0.0,-1.9218924045562744,
niah_mq_q2,11,DT_fixed_query,answer_content_fp64,0.0,-1.7964613437652588,
niah_mq_q2,11,DT_old_reference_fixed_query,full,0.04648148148148148,67.5,
niah_mq_q2,11,DT_old_reference_fixed_query,answer,0.0,-1.9375,
niah_mq_q2,11,DT_old_reference_fixed_query,answer_content,0.0,-1.8125,
niah_mq_q2,11,DT_old_reference_fixed_query,full_fp64,0.04657389601919779,67.47736465930939,
niah_mq_q2,11,DT_old_reference_fixed_query,answer_fp64,0.0,-1.9218924045562744,
niah_mq_q2,11,DT_old_reference_fixed_query,answer_content_fp64,0.0,-1.7964613437652588,
niah_mq_q2,11,FT_fixed_query,full,0.03388888888888889,67.5,0.30065883596803455
niah_mq_q2,11,FT_fixed_query,answer,0.0,-1.9375,
niah_mq_q2,11,FT_fixed_query,answer_content,0.0,-1.8125,
niah_mq_q2,11,FT_fixed_query,full_fp64,0.03393575803050125,67.47736465930939,
niah_mq_q2,11,FT_fixed_query,answer_fp64,0.0,-1.9218924045562744,
niah_mq_q2,11,FT_fixed_query,answer_content_fp64,0.0,-1.7964613437652588,
niah_mq_q2,37,DT_original,full,0.13884180790960454,177.0,
niah_mq_q2,37,DT_original,answer,0.13545197740112996,11.0625,
niah_mq_q2,37,DT_original,answer_content,0.15424791086350972,11.21875,
niah_mq_q2,37,DT_original,full_fp64,0.13936173756214107,177.41592717170715,
niah_mq_q2,37,DT_original,answer_fp64,0.13345885788064396,11.03671646118164,
niah_mq_q2,37,DT_original,answer_content_fp64,0.15417625155117642,11.233294486999512,
niah_mq_q2,37,DT_original_restore_query,full,0.05859375,64.0,
niah_mq_q2,37,DT_original_restore_query,answer,0.0,-1.5625,
niah_mq_q2,37,DT_original_restore_query,answer_content,0.0,-1.46875,
niah_mq_q2,37,DT_original_restore_query,full_fp64,0.05874056904654198,64.13097369670868,
niah_mq_q2,37,DT_original_restore_query,answer_fp64,0.0,-1.5555310249328613,
niah_mq_q2,37,DT_original_restore_query,answer_content_fp64,0.0,-1.4714484214782715,
niah_mq_q2,37,DT_original_only_query,full,0.19329268292682925,41.0,
niah_mq_q2,37,DT_original_only_query,answer,0.1546969696969697,10.3125,
niah_mq_q2,37,DT_original_only_query,answer_content,0.16716300940438872,9.96875,
niah_mq_q2,37,DT_original_only_query,full_fp64,0.1914702785698772,40.85031175613403,
niah_mq_q2,37,DT_original_only_query,answer_fp64,0.1600092594422829,10.361018419265747,
niah_mq_q2,37,DT_original_only_query,answer_content_fp64,0.167375014208793,9.99437928199768,
niah_mq_q2,37,FT_answer_K1,full,0.125,177.0,
niah_mq_q2,37,FT_answer_K1,answer,0.0730225988700565,11.0625,
niah_mq_q2,37,FT_answer_K1,answer_content,0.08321727019498608,11.21875,
niah_mq_q2,37,FT_answer_K1,full_fp64,0.12602242998528607,177.41592717170715,
niah_mq_q2,37,FT_answer_K1,answer_fp64,0.06965752711781278,11.03671646118164,
niah_mq_q2,37,FT_answer_K1,answer_content_fp64,0.08430396525568506,11.233294486999512,
niah_mq_q2,37,FT_answer_K1_restore_query,full,0.0671875,64.0,
niah_mq_q2,37,FT_answer_K1_restore_query,answer,0.0,-1.5625,
niah_mq_q2,37,FT_answer_K1_restore_query,answer_content,0.0,-1.46875,
niah_mq_q2,37,FT_answer_K1_restore_query,full_fp64,0.06696723214837277,64.13097369670868,
niah_mq_q2,37,FT_answer_K1_restore_query,answer_fp64,0.0,-1.5555310249328613,
niah_mq_q2,37,FT_answer_K1_restore_query,answer_content_fp64,0.0,-1.4714484214782715,
niah_mq_q2,37,FT_answer_K1_only_query,full,0.11829268292682926,41.0,
niah_mq_q2,37,FT_answer_K1_only_query,answer,0.08469696969696969,10.3125,
niah_mq_q2,37,FT_answer_K1_only_query,answer_content,0.08456112852664574,9.96875,
niah_mq_q2,37,FT_answer_K1_only_query,full_fp64,0.11781052466826716,40.85031175613403,
niah_mq_q2,37,FT_answer_K1_only_query,answer_fp64,0.08598748262114357,10.361018419265747,
niah_mq_q2,37,FT_answer_K1_only_query,answer_content_fp64,0.0846296958942582,9.99437928199768,
niah_mq_q2,37,DT_full_content,full,0.14025423728813557,177.0,
niah_mq_q2,37,DT_full_content,answer,0.12274011299435028,11.0625,
niah_mq_q2,37,DT_full_content,answer_content,0.12332869080779943,11.21875,
niah_mq_q2,37,DT_full_content,full_fp64,0.14009236110636195,177.41592717170715,
niah_mq_q2,37,DT_full_content,answer_fp64,0.12225746027162228,11.03671646118164,
niah_mq_q2,37,DT_full_content,answer_content_fp64,0.1236111797362807,11.233294486999512,
niah_mq_q2,37,DT_full_content_positive,full,0.14025423728813557,177.0,0.17484876580866857
niah_mq_q2,37,DT_full_content_positive,answer,0.12274011299435028,11.0625,
niah_mq_q2,37,DT_full_content_positive,answer_content,0.12332869080779943,11.21875,
niah_mq_q2,37,DT_full_content_positive,full_fp64,0.14009236110636195,177.41592717170715,
niah_mq_q2,37,DT_full_content_positive,answer_fp64,0.12225746027162228,11.03671646118164,
niah_mq_q2,37,DT_full_content_positive,answer_content_fp64,0.1236111797362807,11.233294486999512,
niah_mq_q2,37,DT_answer_content,full,0.2841807909604519,177.0,
niah_mq_q2,37,DT_answer_content,answer,0.036581920903954804,11.0625,
niah_mq_q2,37,DT_answer_content,answer_content,0.04171309192200558,11.21875,
niah_mq_q2,37,DT_answer_content,full_fp64,0.28629515769121844,177.41592717170715,
niah_mq_q2,37,DT_answer_content,answer_fp64,0.03635993372756687,11.03671646118164,
niah_mq_q2,37,DT_answer_content,answer_content_fp64,0.04180000607863358,11.233294486999512,
niah_mq_q2,37,DT_answer_content_positive,full,0.3005649717514124,177.0,0.49412116204395307
niah_mq_q2,37,DT_answer_content_positive,answer,0.036581920903954804,11.0625,
niah_mq_q2,37,DT_answer_content_positive,answer_content,0.04171309192200558,11.21875,
niah_mq_q2,37,DT_answer_content_positive,full_fp64,0.30114842225423233,177.41592717170715,
niah_mq_q2,37,DT_answer_content_positive,answer_fp64,0.03635993372756687,11.03671646118164,
niah_mq_q2,37,DT_answer_content_positive,answer_content_fp64,0.04180000607863358,11.233294486999512,
niah_mq_q2,37,FT_full_K1,full,0.11935028248587572,177.0,
niah_mq_q2,37,FT_full_K1,answer,0.18036723163841809,11.0625,
niah_mq_q2,37,FT_full_K1,answer_content,0.19129526462395546,11.21875,
niah_mq_q2,37,FT_full_K1,full_fp64,0.12065458353314942,177.41592717170715,
niah_mq_q2,37,FT_full_K1,answer_fp64,0.17949533556424715,11.03671646118164,
niah_mq_q2,37,FT_full_K1,answer_content_fp64,0.19149482482031735,11.233294486999512,
niah_mq_q2,37,DT_fixed_query,full,0.03359375,64.0,
niah_mq_q2,37,DT_fixed_query,answer,0.0,-1.5625,
niah_mq_q2,37,DT_fixed_query,answer_content,0.0,-1.46875,
niah_mq_q2,37,DT_fixed_query,full_fp64,0.03387608939032259,64.13097369670868,
niah_mq_q2,37,DT_fixed_query,answer_fp64,0.0,-1.5555310249328613,
niah_mq_q2,37,DT_fixed_query,answer_content_fp64,0.0,-1.4714484214782715,
niah_mq_q2,37,DT_old_reference_fixed_query,full,0.04375,64.0,
niah_mq_q2,37,DT_old_reference_fixed_query,answer,0.0,-1.5625,
niah_mq_q2,37,DT_old_reference_fixed_query,answer_content,0.0,-1.46875,
niah_mq_q2,37,DT_old_reference_fixed_query,full_fp64,0.0439691493143277,64.13097369670868,
niah_mq_q2,37,DT_old_reference_fixed_query,answer_fp64,0.0,-1.5555310249328613,
niah_mq_q2,37,DT_old_reference_fixed_query,answer_content_fp64,0.0,-1.4714484214782715,
niah_mq_q2,37,FT_fixed_query,full,0.0375,64.0,0.28551627746691893
niah_mq_q2,37,FT_fixed_query,answer,0.0,-1.5625,
niah_mq_q2,37,FT_fixed_query,answer_content,0.0,-1.46875,
niah_mq_q2,37,FT_fixed_query,full_fp64,0.03791104527637072,64.13097369670868,
niah_mq_q2,37,FT_fixed_query,answer_fp64,0.0,-1.5555310249328613,
niah_mq_q2,37,FT_fixed_query,answer_content_fp64,0.0,-1.4714484214782715,
niah_mq_q2,63,DT_original,full,0.09388888888888887,180.0,
niah_mq_q2,63,DT_original,answer,0.06329787234042553,2.9375,
niah_mq_q2,63,DT_original,answer_content,0.14464285714285713,0.875,
niah_mq_q2,63,DT_original,full_fp64,0.09674957807635871,180.9036637544632,
niah_mq_q2,63,DT_original,answer_fp64,0.06304280518313514,2.963139533996582,
niah_mq_q2,63,DT_original,answer_content_fp64,0.14194050192572527,0.8787832260131836,
niah_mq_q2,63,DT_original_restore_query,full,0.025,74.0,
niah_mq_q2,63,DT_original_restore_query,answer,0.0,-0.125,
niah_mq_q2,63,DT_original_restore_query,answer_content,0.0,-0.34375,
niah_mq_q2,63,DT_original_restore_query,full_fp64,0.025,73.85647082328796,
niah_mq_q2,63,DT_original_restore_query,answer_fp64,0.0,-0.14100384712219238,
niah_mq_q2,63,DT_original_restore_query,answer_content_fp64,0.0,-0.3299839496612549,
niah_mq_q2,63,DT_original_only_query,full,0.06693548387096775,31.0,
niah_mq_q2,63,DT_original_only_query,answer,0.07428057553956834,8.6875,
niah_mq_q2,63,DT_original_only_query,answer_content,0.17327586206896553,0.90625,
niah_mq_q2,63,DT_original_only_query,full_fp64,0.06832636080251027,31.026306629180908,
niah_mq_q2,63,DT_original_only_query,answer_fp64,0.07428000534158423,8.717997312545776,
niah_mq_q2,63,DT_original_only_query,answer_content_fp64,0.17226023711059146,0.9103744029998779,
niah_mq_q2,63,FT_answer_K1,full,0.056666666666666664,180.0,
niah_mq_q2,63,FT_answer_K1,answer,0.025,2.9375,
niah_mq_q2,63,FT_answer_K1,answer_content,0.5107142857142858,0.875,
niah_mq_q2,63,FT_answer_K1,full_fp64,0.06103663390304907,180.9036637544632,
niah_mq_q2,63,FT_answer_K1,answer_fp64,0.025,2.963139533996582,
niah_mq_q2,63,FT_answer_K1,answer_content_fp64,0.5037352030069313,0.8787832260131836,
niah_mq_q2,63,FT_answer_K1_restore_query,full,0.03581081081081081,74.0,
niah_mq_q2,63,FT_answer_K1_restore_query,answer,0.0,-0.125,
niah_mq_q2,63,FT_answer_K1_restore_query,answer_content,0.0,-0.34375,
niah_mq_q2,63,FT_answer_K1_restore_query,full_fp64,0.035711246322433166,73.85647082328796,
niah_mq_q2,63,FT_answer_K1_restore_query,answer_fp64,0.0,-0.14100384712219238,
niah_mq_q2,63,FT_answer_K1_restore_query,answer_content_fp64,0.0,-0.3299839496612549,
niah_mq_q2,63,FT_answer_K1_only_query,full,0.031451612903225803,31.0,
niah_mq_q2,63,FT_answer_K1_only_query,answer,0.04334532374100719,8.6875,
niah_mq_q2,63,FT_answer_K1_only_query,answer_content,0.075,0.90625,
niah_mq_q2,63,FT_answer_K1_only_query,full_fp64,0.03185049683724659,31.026306629180908,
niah_mq_q2,63,FT_answer_K1_only_query,answer_fp64,0.04337177685972223,8.717997312545776,
niah_mq_q2,63,FT_answer_K1_only_query,answer_content_fp64,0.075,0.9103744029998779,
niah_mq_q2,63,DT_full_content,full,0.09749999999999996,180.0,
niah_mq_q2,63,DT_full_content,answer,0.07712765957446807,2.9375,
niah_mq_q2,63,DT_full_content,answer_content,0.1607142857142857,0.875,
niah_mq_q2,63,DT_full_content,full_fp64,0.10347501574896463,180.9036637544632,
niah_mq_q2,63,DT_full_content,answer_fp64,0.07766125726848738,2.963139533996582,
niah_mq_q2,63,DT_full_content,answer_content_fp64,0.15869948023323577,0.8787832260131836,
niah_mq_q2,63,DT_full_content_positive,full,0.0958333333333333,180.0,0.12395709615265078
niah_mq_q2,63,DT_full_content_positive,answer,0.07712765957446807,2.9375,
niah_mq_q2,63,DT_full_content_positive,answer_content,0.1607142857142857,0.875,
niah_mq_q2,63,DT_full_content_positive,full_fp64,0.10147308424965151,180.9036637544632,
niah_mq_q2,63,DT_full_content_positive,answer_fp64,0.07766125726848738,2.963139533996582,
niah_mq_q2,63,DT_full_content_positive,answer_content_fp64,0.15869948023323577,0.8787832260131836,
niah_mq_q2,63,DT_answer_content,full,0.4041666666666665,180.0,
niah_mq_q2,63,DT_answer_content,answer,0.025,2.9375,
niah_mq_q2,63,DT_answer_content,answer_content,0.025,0.875,
niah_mq_q2,63,DT_answer_content,full_fp64,0.4079269763044099,180.9036637544632,
niah_mq_q2,63,DT_answer_content,answer_fp64,0.025,2.963139533996582,
niah_mq_q2,63,DT_answer_content,answer_content_fp64,0.025,0.8787832260131836,
niah_mq_q2,63,DT_answer_content_positive,full,0.3286111111111111,180.0,0.5668764509091375
niah_mq_q2,63,DT_answer_content_positive,answer,0.025,2.9375,
niah_mq_q2,63,DT_answer_content_positive,answer_content,0.025,0.875,
niah_mq_q2,63,DT_answer_content_positive,full_fp64,0.3312520212739845,180.9036637544632,
niah_mq_q2,63,DT_answer_content_positive,answer_fp64,0.025,2.963139533996582,
niah_mq_q2,63,DT_answer_content_positive,answer_content_fp64,0.025,0.8787832260131836,
niah_mq_q2,63,FT_full_K1,full,0.06805555555555556,180.0,
niah_mq_q2,63,FT_full_K1,answer,0.05053191489361701,2.9375,
niah_mq_q2,63,FT_full_K1,answer_content,0.4124999999999999,0.875,
niah_mq_q2,63,FT_full_K1,full_fp64,0.07259021380771839,180.9036637544632,
niah_mq_q2,63,FT_full_K1,answer_fp64,0.05111341986374975,2.963139533996582,
niah_mq_q2,63,FT_full_K1,answer_content_fp64,0.40527950011449076,0.8787832260131836,
niah_mq_q2,63,DT_fixed_query,full,0.025,74.0,
niah_mq_q2,63,DT_fixed_query,answer,0.0,-0.125,
niah_mq_q2,63,DT_fixed_query,answer_content,0.0,-0.34375,
niah_mq_q2,63,DT_fixed_query,full_fp64,0.025,73.85647082328796,
niah_mq_q2,63,DT_fixed_query,answer_fp64,0.0,-0.14100384712219238,
niah_mq_q2,63,DT_fixed_query,answer_content_fp64,0.0,-0.3299839496612549,
niah_mq_q2,63,DT_old_reference_fixed_query,full,0.025,74.0,
niah_mq_q2,63,DT_old_reference_fixed_query,answer,0.0,-0.125,
niah_mq_q2,63,DT_old_reference_fixed_query,answer_content,0.0,-0.34375,
niah_mq_q2,63,DT_old_reference_fixed_query,full_fp64,0.025,73.85647082328796,
niah_mq_q2,63,DT_old_reference_fixed_query,answer_fp64,0.0,-0.14100384712219238,
niah_mq_q2,63,DT_old_reference_fixed_query,answer_content_fp64,0.0,-0.3299839496612549,
niah_mq_q2,63,FT_fixed_query,full,0.02567567567567568,74.0,0.2799129350425139
niah_mq_q2,63,FT_fixed_query,answer,0.0,-0.125,
niah_mq_q2,63,FT_fixed_query,answer_content,0.0,-0.34375,
niah_mq_q2,63,FT_fixed_query,full_fp64,0.025263065879327817,73.85647082328796,
niah_mq_q2,63,FT_fixed_query,answer_fp64,0.0,-0.14100384712219238,
niah_mq_q2,63,FT_fixed_query,answer_content_fp64,0.0,-0.3299839496612549,
niah_mq_q2,89,DT_original,full,0.121,175.0,
niah_mq_q2,89,DT_original,answer,0.0,-3.09375,
niah_mq_q2,89,DT_original,answer_content,0.0,-0.15625,
niah_mq_q2,89,DT_original,full_fp64,0.12123076772746519,175.7552877664566,
niah_mq_q2,89,DT_original,answer_fp64,0.0,-3.114986538887024,
niah_mq_q2,89,DT_original,answer_content_fp64,0.0,-0.1493912935256958,
niah_mq_q2,89,DT_original_restore_query,full,0.05234375,64.0,
niah_mq_q2,89,DT_original_restore_query,answer,0.0,-2.4375,
niah_mq_q2,89,DT_original_restore_query,answer_content,0.0,-0.640625,
niah_mq_q2,89,DT_original_restore_query,full_fp64,0.05183666340511114,64.44039046764374,
niah_mq_q2,89,DT_original_restore_query,answer_fp64,0.0,-2.431753635406494,
niah_mq_q2,89,DT_original_restore_query,answer_content_fp64,0.0,-0.634188175201416,
niah_mq_q2,89,DT_original_only_query,full,0.16759259259259257,54.0,
niah_mq_q2,89,DT_original_only_query,answer,0.0,-2.71875,
niah_mq_q2,89,DT_original_only_query,answer_content,0.025,0.25,
niah_mq_q2,89,DT_original_only_query,full_fp64,0.16663978774720684,54.78570055961609,
niah_mq_q2,89,DT_original_only_query,answer_fp64,0.0,-2.724725127220154,
niah_mq_q2,89,DT_original_only_query,answer_content_fp64,0.025,0.24014151096343994,
niah_mq_q2,89,FT_answer_K1,full,0.11842857142857144,175.0,
niah_mq_q2,89,FT_answer_K1,answer,0.0,-3.09375,
niah_mq_q2,89,FT_answer_K1,answer_content,0.0,-0.15625,
niah_mq_q2,89,FT_answer_K1,full_fp64,0.11809349314547504,175.7552877664566,
niah_mq_q2,89,FT_answer_K1,answer_fp64,0.0,-3.114986538887024,
niah_mq_q2,89,FT_answer_K1,answer_content_fp64,0.0,-0.1493912935256958,
niah_mq_q2,89,FT_answer_K1_restore_query,full,0.090625,64.0,
niah_mq_q2,89,FT_answer_K1_restore_query,answer,0.0,-2.4375,
niah_mq_q2,89,FT_answer_K1_restore_query,answer_content,0.0,-0.640625,
niah_mq_q2,89,FT_answer_K1_restore_query,full_fp64,0.09022454734528544,64.44039046764374,
niah_mq_q2,89,FT_answer_K1_restore_query,answer_fp64,0.0,-2.431753635406494,
niah_mq_q2,89,FT_answer_K1_restore_query,answer_content_fp64,0.0,-0.634188175201416,
niah_mq_q2,89,FT_answer_K1_only_query,full,0.11111111111111112,54.0,
niah_mq_q2,89,FT_answer_K1_only_query,answer,0.0,-2.71875,
niah_mq_q2,89,FT_answer_K1_only_query,answer_content,0.025,0.25,
niah_mq_q2,89,FT_answer_K1_only_query,full_fp64,0.1118501872877257,54.78570055961609,
niah_mq_q2,89,FT_answer_K1_only_query,answer_fp64,0.0,-2.724725127220154,
niah_mq_q2,89,FT_answer_K1_only_query,answer_content_fp64,0.025,0.24014151096343994,
niah_mq_q2,89,DT_full_content,full,0.12728571428571428,175.0,
niah_mq_q2,89,DT_full_content,answer,0.0,-3.09375,
niah_mq_q2,89,DT_full_content,answer_content,0.0,-0.15625,
niah_mq_q2,89,DT_full_content,full_fp64,0.12791592966822285,175.7552877664566,
niah_mq_q2,89,DT_full_content,answer_fp64,0.0,-3.114986538887024,
niah_mq_q2,89,DT_full_content,answer_content_fp64,0.0,-0.1493912935256958,
niah_mq_q2,89,DT_full_content_positive,full,0.12728571428571428,175.0,0.14889729708340482
niah_mq_q2,89,DT_full_content_positive,answer,0.0,-3.09375,
niah_mq_q2,89,DT_full_content_positive,answer_content,0.0,-0.15625,
niah_mq_q2,89,DT_full_content_positive,full_fp64,0.12791592966822285,175.7552877664566,
niah_mq_q2,89,DT_full_content_positive,answer_fp64,0.0,-3.114986538887024,
niah_mq_q2,89,DT_full_content_positive,answer_content_fp64,0.0,-0.1493912935256958,
niah_mq_q2,89,DT_answer_content,full,0.5267142857142857,175.0,
niah_mq_q2,89,DT_answer_content,answer,0.0,-3.09375,
niah_mq_q2,89,DT_answer_content,answer_content,0.0,-0.15625,
niah_mq_q2,89,DT_answer_content,full_fp64,0.5257883443814818,175.7552877664566,
niah_mq_q2,89,DT_answer_content,answer_fp64,0.0,-3.114986538887024,
niah_mq_q2,89,DT_answer_content,answer_content_fp64,0.0,-0.1493912935256958,
niah_mq_q2,89,DT_answer_content_positive,full,0.5507142857142858,175.0,0.8567142843825822
niah_mq_q2,89,DT_answer_content_positive,answer,0.0,-3.09375,
niah_mq_q2,89,DT_answer_content_positive,answer_content,0.0,-0.15625,
niah_mq_q2,89,DT_answer_content_positive,full_fp64,0.5497996771221798,175.7552877664566,
niah_mq_q2,89,DT_answer_content_positive,answer_fp64,0.0,-3.114986538887024,
niah_mq_q2,89,DT_answer_content_positive,answer_content_fp64,0.0,-0.1493912935256958,
niah_mq_q2,89,FT_full_K1,full,0.12471428571428571,175.0,
niah_mq_q2,89,FT_full_K1,answer,0.0,-3.09375,
niah_mq_q2,89,FT_full_K1,answer_content,0.0,-0.15625,
niah_mq_q2,89,FT_full_K1,full_fp64,0.12462144161980933,175.7552877664566,
niah_mq_q2,89,FT_full_K1,answer_fp64,0.0,-3.114986538887024,
niah_mq_q2,89,FT_full_K1,answer_content_fp64,0.0,-0.1493912935256958,
niah_mq_q2,89,DT_fixed_query,full,0.03125,64.0,
niah_mq_q2,89,DT_fixed_query,answer,0.0,-2.4375,
niah_mq_q2,89,DT_fixed_query,answer_content,0.0,-0.640625,
niah_mq_q2,89,DT_fixed_query,full_fp64,0.031188298478532217,64.44039046764374,
niah_mq_q2,89,DT_fixed_query,answer_fp64,0.0,-2.431753635406494,
niah_mq_q2,89,DT_fixed_query,answer_content_fp64,0.0,-0.634188175201416,
niah_mq_q2,89,DT_old_reference_fixed_query,full,0.04296875,64.0,
niah_mq_q2,89,DT_old_reference_fixed_query,answer,0.0,-2.4375,
niah_mq_q2,89,DT_old_reference_fixed_query,answer_content,0.0,-0.640625,
niah_mq_q2,89,DT_old_reference_fixed_query,full_fp64,0.042768258748817845,64.44039046764374,
niah_mq_q2,89,DT_old_reference_fixed_query,answer_fp64,0.0,-2.431753635406494,
niah_mq_q2,89,DT_old_reference_fixed_query,answer_content_fp64,0.0,-0.634188175201416,
niah_mq_q2,89,FT_fixed_query,full,0.03671875,64.0,0.3067128054651952
niah_mq_q2,89,FT_fixed_query,answer,0.0,-2.4375,
niah_mq_q2,89,FT_fixed_query,answer_content,0.0,-0.640625,
niah_mq_q2,89,FT_fixed_query,full_fp64,0.0369598864281259,64.44039046764374,
niah_mq_q2,89,FT_fixed_query,answer_fp64,0.0,-2.431753635406494,
niah_mq_q2,89,FT_fixed_query,answer_content_fp64,0.0,-0.634188175201416,
niah_mq_q4,11,DT_original,full,0.14549180327868852,244.0,
niah_mq_q4,11,DT_original,answer,0.075,0.5,
niah_mq_q4,11,DT_original,answer_content,0.0,-0.4375,
niah_mq_q4,11,DT_original,full_fp64,0.1446738862349825,242.98353922367096,
niah_mq_q4,11,DT_original,answer_fp64,0.075,0.5431147813796997,
niah_mq_q4,11,DT_original,answer_content_fp64,0.0,-0.42769038677215576,
niah_mq_q4,11,DT_original_restore_query,full,0.05752427184466019,103.0,
niah_mq_q4,11,DT_original_restore_query,answer,0.09375,1.0,
niah_mq_q4,11,DT_original_restore_query,answer_content,0.06745283018867924,1.65625,
