model,dataset,index,method,profile,complete_support,budget_fraction,budget_unit,budget_tokens,spent_tokens,selected_sentences,supporting_facts_hit,gold_supporting_facts,pooling,target_mode,input_sha256,source_group,source_sha256
qwen3,hotpotqa_long,16,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,292,287,11,2,2,positive_sum,full,825cfcdeb81643333615dfbce9375075c21a4a6a836c5306f0b6f484eb0590a1,symmetric_full_retest,5da39807328e80eb2f32f9f7ae69dd2e3abee77c530e0f573157b69d88e44da2
qwen3,hotpotqa_long,17,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,280,280,7,2,2,positive_sum,full,4512de494a2abd0f5e92812727aad6a95e932d015cc0dabc029b228c81b56a62,symmetric_full_retest,d28f6a527eaaceaf3b5fef722d5e624b78ba955e8236621d794636708fdd5a09
qwen3,hotpotqa_long,18,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,403,401,9,2,2,positive_sum,full,a0ddb2cfbdb92aa027ca2b4ed5189b4d5e2ba7e2874d049691f7699214b1c6c1,symmetric_full_retest,51454b6fb55f8d207bbf864ce3f370aaefc74a1f857ee6cdeba9f759b1d4d9c3
qwen3,hotpotqa_long,19,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,282,253,5,2,2,positive_sum,full,ee5e0cc6c3329fdb3aae643eec6be2e57e71b7ba1944711b3e005099ec67965e,symmetric_full_retest,3dc94ee5aa46a01c0e96bf3bfa7977789de54e6bb00f5e1aa071f045e0cefd44
qwen3,hotpotqa_long,20,DT,pv-layer-symmetric-v1,0,0.3,all_body_tokens,343,333,10,1,2,positive_sum,full,814d68821bb4fa0befde40282c156f7e30d41934150a18a644f44243cb8626f8,symmetric_full_retest,45a9e2a8f8a1536298cf04aa53c110b7cde908dd87776ba540026d245725a564
qwen3,hotpotqa_long,21,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,438,435,13,2,2,positive_sum,full,0122bd8f00ec97deab09e94006f707cd17ea65af61abc12cc2791f230613d159,symmetric_full_retest,20a8616c859bbe04abc5b993142f809c8f5fa4dac1453121032d2003d050daf3
qwen3,hotpotqa_long,22,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,960,949,27,2,2,positive_sum,full,152982a618e2afd6d9ca5f5b5684dc7f992f51805705fff1959ddc3c93ddc722,symmetric_full_retest,324dd8df2a17d8cc34a963a272756e847c7af6eaca18b9d1b90a381ffbad1565
qwen3,hotpotqa_long,23,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,402,293,7,3,3,positive_sum,full,160db6bf69d5c4d966b0c27083841c36334f4f4bfc00c92eabeb23df479b6aa4,symmetric_full_retest,54299f9d2e4cb14bdfa691611ca0158a91231e5d49a54df1c9621e7d6bbe6bad
qwen3,hotpotqa_long,24,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,355,355,12,3,3,positive_sum,full,e2ce8f9cf6beedc79e112fbb3f82407af37a139bf56a02519f8510f14bf04f10,symmetric_full_retest,3bdbaebd69b0ad79e57384fb33dc66e84a34e72043b8d73eddc220b3e20d9599
qwen3,hotpotqa_long,25,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,532,531,17,4,4,positive_sum,full,e4e012f3f682d31dc9f21841ca4b4276f69aa1b2de29adce1e789ece7329ed23,symmetric_full_retest,26a887df21c5a2166e9b62efae8735e9c90919884bbd4d596dfa0698d29ab416
qwen3,hotpotqa_long,26,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,318,297,5,2,2,positive_sum,full,2e0ca85919df0d6cafad5851892bbc3d9c93e0731b529e7376c6b4050bb026af,symmetric_full_retest,0ae16a15cfc8e017326140634ab0a3f55566f24d6f8e73c9359df4e932ced3a6
qwen3,hotpotqa_long,27,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,516,489,14,2,2,positive_sum,full,1d5960dd30cbe98ef3f4df3e05e0f1822398fcd20a387266f4a6f0ed61f4c176,symmetric_full_retest,be86db8c9bcbafbdcecac50f047194c0ddb06809863a947cc48036bfb40dfeb7
qwen3,hotpotqa_long,28,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,287,273,5,3,3,positive_sum,full,b234519ffccd66b1b5e2ad621fbc2eb6e382edc9da6909aff7ba1b6d9cc1bc37,symmetric_full_retest,fee945c9b22b192db99a01616f6aeb0796e9bfd040f47036c8cc27905b178d92
qwen3,hotpotqa_long,29,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,269,229,5,3,3,positive_sum,full,12d3bde4e0fef477b5b8fce49cb780e0c93f89732f28740ef30b2c2d6b34fc43,symmetric_full_retest,ec2c6d0f3378d9377421e8a49ea41575b7c5cc95d74f1cc993c525521fd399e7
qwen3,hotpotqa_long,30,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,384,324,10,2,2,positive_sum,full,f858f94965df80eba503f062686f51cbac22fc8e8bcea3594719f16f1fb6cbbb,symmetric_full_retest,139b51be9e220f5bcd7935b241a6120b03ca8313a34ea526cb0a4e112ce31ad0
qwen3,hotpotqa_long,31,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,539,537,13,2,2,positive_sum,full,8c688b99546286876a5a929a243a9a5d950fcfa99428a826728211dc4eedd770,symmetric_full_retest,e69027a0e80b14331523d95395787094572e81bb0e13e61db8322520b008b31b
qwen3,hotpotqa_long,32,DT,pv-layer-symmetric-v1,0,0.3,all_body_tokens,358,330,8,1,3,positive_sum,full,76ffafbf0f199021b5b3af908891e9dde71b6a395a84267b760e14adddeecafe,symmetric_full_retest,8e434abf08866eaa11c7b995ba8c555f0afe9e37e64142aa09011e0650a117af
qwen3,hotpotqa_long,33,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,329,305,6,3,3,positive_sum,full,e6f593041274d1f4154e4591f5b9eb42a7bebe8174eae514b91d2bedb4f4a0e8,symmetric_full_retest,2f1405513e62fc465872d05c25a0f522f83693eb657e38a94189fd2ade0f3ef4
qwen3,hotpotqa_long,34,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,311,305,9,2,2,positive_sum,full,340be160ce2cd4d8286e37b9443566e8b18b13f4e32aba2b52686e0e470288c3,symmetric_full_retest,8b26a3140c59f435adeb7e859fa3793530f5647c1550bf6b0c89a0f15d2b2341
qwen3,hotpotqa_long,35,DT,pv-layer-symmetric-v1,0,0.3,all_body_tokens,363,353,12,2,3,positive_sum,full,f1fb5057c13357e03ef2375b6d9b6f009d981ff4da28ca64a04f43bf48d39015,symmetric_full_retest,f20f0edcd4482ef4ca7e2f739b3ba75489c109c9e38e8e1df679b50c9fefbd3a
qwen3,hotpotqa_long,36,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,464,449,14,2,2,positive_sum,full,86cfe7c38ec1278df15d09960429b3658e0d499a4d7b282af52f2a4ab83b678f,symmetric_full_retest,5029b2d595c2162e64681434ab53268e04b1a488c682393a6a57544ce97fd182
qwen3,hotpotqa_long,37,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,355,275,7,2,2,positive_sum,full,1b6ba36ac201f44ee981735184f12476de54ea643c31415fab289b4409988237,symmetric_full_retest,c5f1c34650838fbc22494e206dd5e0667e57cdc71a891590176b42bf6ca12206
qwen3,hotpotqa_long,38,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,391,369,10,2,2,positive_sum,full,b60166fabe4615da88ad723e73938b60f3e3586f06bf7c17349a5c02a1379fb0,symmetric_full_retest,8dfc722d3f290c28a0ad051bcd3fbf448c05753f865c4ba41632a7dd50e83be3
qwen3,hotpotqa_long,39,DT,pv-layer-symmetric-v1,0,0.3,all_body_tokens,216,198,3,1,2,positive_sum,full,55860e03ba5c1d2fe949816f0090eb55ec372d3fa9dd09760260b4fe8dc09a3c,symmetric_full_retest,c3f21e0680f9eb93201e19c069d5f9c2784a617e05109bce0a32e2ae15bc8b04
qwen3,hotpotqa_long,40,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,422,405,11,4,4,positive_sum,full,8b8844204fdbbe2ff066bda485b9f5d85f5786d3eb85f695ec03cf36a1fbc77e,symmetric_full_retest,fdeb25ff10a62897b716234d31205296857bb8d7108b1580d3f1a23c3ae144ca
qwen3,hotpotqa_long,41,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,266,228,8,4,4,positive_sum,full,4d905f80d261d539feb4127bf63a94bc152f09b85b4470515f75f339fd2aad5c,symmetric_full_retest,d734195cbc99e9cce15cde2429dddbdcd65f32599b4c31e93df9271c5c44d266
qwen3,hotpotqa_long,42,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,394,356,8,2,2,positive_sum,full,18e337d932c0fe10be624a3161ec292cd30bd8fb735e49094bded6e95513e44b,symmetric_full_retest,43c37906625d8f2e137d5b8e0bc0a7e436226f45391f5f14ffa48a939ab1e109
qwen3,hotpotqa_long,43,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,378,343,7,3,3,positive_sum,full,569ada0572ca691e6c8cff1ae2fba589f7705a164f8a8099e35446d6ce97302a,symmetric_full_retest,b7e532799d7f174eef89ae66b9be2a75ea43d7caf6b74037779a988511ba0dd0
qwen3,hotpotqa_long,44,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,250,207,7,3,3,positive_sum,full,52b633c7cf91c35f0802927301cccb70e02d080e5b8a4eb819d7a23eb2300f22,symmetric_full_retest,fa4a867c508fd5306a23c454707d93c27c41c1f5580671ef25a4272a8f86731e
qwen3,hotpotqa_long,45,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,551,526,9,2,2,positive_sum,full,fbc542468e24eb293a05c6735e658f95a2b6633394b44a74534b10d3f1d1090b,symmetric_full_retest,7e0829f65204a8aaa711cdbcbffa2797a0710af2c9096e16d6378a3a92695935
qwen3,hotpotqa_long,46,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,398,392,9,2,2,positive_sum,full,fd87b887094d88002efc94dfbca08e35fdb72509347fca562ecb6bdba9649408,symmetric_full_retest,2cef7c568f8da743bd65b78c57f8fb9c548396951a637294ae9474178fcb6676
qwen3,hotpotqa_long,47,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,265,234,7,3,3,positive_sum,full,57a10ed31a5f23710adfccd00d7a1ea1392d9b8bd5abae692e2dc57d03f8e295,symmetric_full_retest,c8e413078088225bf08f0b0e3384e22e159d701bbd07419971d166173a219299
qwen3,hotpotqa_long,0,DT_original,content_P1,1,0.3,all_body_tokens,865,772,14,2,2,positive_sum,full,5c7082704d4e93a321fc731fd67da47442fb04fc8f347e2b23813f28cae37c49,source_v2_full_recall,e79a7105a0dc6d75432edef78c8941f31ee97a60e2fd62e73afb10216de2c6af
qwen3,hotpotqa_long,1,DT_original,content_P1,1,0.3,all_body_tokens,349,300,9,3,3,positive_sum,full,ee831b70d0620fa6da383ddfc30ac6be445c4c3432af087302b5731e64f259a3,source_v2_full_recall,8462c5fdfa3cfa6883c001574db350228ea17170f716fd891913433ba36f9988
qwen3,hotpotqa_long,2,DT_original,content_P1,1,0.3,all_body_tokens,355,316,8,3,3,positive_sum,full,0bf5f0afce644fca614c061e4222c6ef9a3df5dcd165949b86c2c8c070a441f1,source_v2_full_recall,c791787dcc55d8e28284cc0567abedbaec3f51ac5a975f9d7551c9edf7bb019c
qwen3,hotpotqa_long,3,DT_original,content_P1,1,0.3,all_body_tokens,284,279,9,2,2,positive_sum,full,5ef5a8b7d5f9f8663f0710d9977bd3f4fb4e77433b27e4ce4f42034819c9d06f,source_v2_full_recall,89e0cb603e241542512a64563116bec8948a64678e241170ca143eea5a269c6f
qwen3,hotpotqa_long,4,DT_original,content_P1,1,0.3,all_body_tokens,356,350,10,3,3,positive_sum,full,c40c902d0794983fe6fdd350267594a796ca56f9025d59f3cd4cb0c2bd5b7192,source_v2_full_recall,81e2ebfb09ad5f3eed4e9be1caea957d56ff26efdbc86bfe9ec4fbe5855ac726
qwen3,hotpotqa_long,5,DT_original,content_P1,1,0.3,all_body_tokens,525,523,16,3,3,positive_sum,full,119145def7cf40122190971427e159b55222f88f75367d933850edf949f0b239,source_v2_full_recall,410fe5c9d3e1b1b93d476169b357be297388e160bd3cf6756c00184f3b43a9bb
qwen3,hotpotqa_long,6,DT_original,content_P1,1,0.3,all_body_tokens,375,371,11,2,2,positive_sum,full,ecab5af27e55b0a167280f460cb8b8e1fd5d10c12dd239b79fa1f548e61067db,source_v2_full_recall,978cfc196021406a95d868bffd3ef82028d6adcfa270d2bcf3f28d94ac7b3515
qwen3,hotpotqa_long,7,DT_original,content_P1,1,0.3,all_body_tokens,310,270,6,2,2,positive_sum,full,75b50ad20cec84944c262de9b75fa536a6d4d6c0ea93edb0aea1fc2480c92315,source_v2_full_recall,9140a588cee934c8fa4ba7982698350b8c0a65af670a83a523522b8a1199cc1a
qwen3,hotpotqa_long,8,DT_original,content_P1,0,0.3,all_body_tokens,212,172,8,3,4,positive_sum,full,e3379b9b3929d623474f43a7124091f595fa110c7b34485e879d2a379f681ec7,source_v2_full_recall,9ed6e67f7cc9f30a0b49d44a6602ce7c42f24dbc30482eef506a62ded13ee75a
qwen3,hotpotqa_long,9,DT_original,content_P1,0,0.3,all_body_tokens,293,265,10,3,4,positive_sum,full,02fe29e4077b4756c9fc784faf459747bd5d17482ab2579435835328c229de8c,source_v2_full_recall,dce33a0e14002bdc031e17c51e5f6a757aba3125aa2b1975fd01c64742d90619
qwen3,hotpotqa_long,10,DT_original,content_P1,1,0.3,all_body_tokens,387,346,8,4,4,positive_sum,full,bcb0ffc3da98e02b8456809a8cd349cbbcabe88e14fd251a737a3ef42af69a5e,source_v2_full_recall,16b992199c5d214c61a737395b3d8c28fe6e4339500312b83c813ce810617907
qwen3,hotpotqa_long,11,DT_original,content_P1,1,0.3,all_body_tokens,259,241,6,2,2,positive_sum,full,945e5716021f5886cc77f6f677956219f8d3c43cc3520c2bcb8e052b00d31ccb,source_v2_full_recall,9f66e103f7b87d01fbaa8763a310411da77a41b44f64d35dd829abd6d035a63a
qwen3,hotpotqa_long,12,DT_original,content_P1,1,0.3,all_body_tokens,571,543,12,2,2,positive_sum,full,6e8b504cb97eaff570d1906a89713ba36449d1082a4c6e1183f352eec41e10fc,source_v2_full_recall,db45e512f7532cba08d421210f14c0a397abe5f0a688fe72f8a0d0d0adfa93ce
qwen3,hotpotqa_long,13,DT_original,content_P1,1,0.3,all_body_tokens,520,425,7,2,2,positive_sum,full,87624a6d65f946be43a2bfec7ab7bad17aa1ddd9eda8cd716d7ffdb3a59cd703,source_v2_full_recall,02e83cd8dd3e7a9c77093c32dbff4c076e69b5e05a2755d5c72ac9c6879fc87e
qwen3,hotpotqa_long,14,DT_original,content_P1,1,0.3,all_body_tokens,400,388,10,2,2,positive_sum,full,78c72d6a4c42c09d96cc88d403de3480d2f2ae59151152fdd4e238847425f355,source_v2_full_recall,064722907eb7f656f7be6e6ffbdc547782196da022fd73f3d1268c88991d922c
qwen3,hotpotqa_long,15,DT_original,content_P1,1,0.3,all_body_tokens,374,352,13,4,4,positive_sum,full,68c910036d86b9d7f594fac1d5aa87892b1c7d587b2e68dc08d9f9d5ffdcb0eb,source_v2_full_recall,d312d73c1633ccf6806bdd8cfd8d0354977e8fafb77bcbb945069e6099f1bc38
qwen3,hotpotqa_long,16,DT_original,content_P1,1,0.3,all_body_tokens,292,248,10,2,2,positive_sum,full,825cfcdeb81643333615dfbce9375075c21a4a6a836c5306f0b6f484eb0590a1,source_v2_full_recall,65a80f888dfc09b370c65ec5dd253849fab865a757d500c7308c08daf6586e57
qwen3,hotpotqa_long,17,DT_original,content_P1,1,0.3,all_body_tokens,280,250,6,2,2,positive_sum,full,4512de494a2abd0f5e92812727aad6a95e932d015cc0dabc029b228c81b56a62,source_v2_full_recall,e657ce800cdfd879b092cdcb6bb33e0c8a065cc13ce9b80d22d029530422468f
qwen3,hotpotqa_long,18,DT_original,content_P1,1,0.3,all_body_tokens,403,356,8,2,2,positive_sum,full,a0ddb2cfbdb92aa027ca2b4ed5189b4d5e2ba7e2874d049691f7699214b1c6c1,source_v2_full_recall,0e13f423f39a8de479fc8ce7a44fff419e8bf7233709a6cf34168b64f1c6456b
qwen3,hotpotqa_long,19,DT_original,content_P1,1,0.3,all_body_tokens,282,256,6,2,2,positive_sum,full,ee5e0cc6c3329fdb3aae643eec6be2e57e71b7ba1944711b3e005099ec67965e,source_v2_full_recall,3c1b17f0a257070ff3b4c262ce7510699a8c845db544143852707e73db41e8b0
qwen3,hotpotqa_long,20,DT_original,content_P1,1,0.3,all_body_tokens,343,328,10,2,2,positive_sum,full,814d68821bb4fa0befde40282c156f7e30d41934150a18a644f44243cb8626f8,source_v2_full_recall,46a181d8075f4079bf230f6a933f6c581211bc44c11a593733dd8d8db5bc446f
qwen3,hotpotqa_long,21,DT_original,content_P1,1,0.3,all_body_tokens,438,430,14,2,2,positive_sum,full,0122bd8f00ec97deab09e94006f707cd17ea65af61abc12cc2791f230613d159,source_v2_full_recall,730ca567e94bebf4f8ce2a463065fbb274bb73f14cfb65d1ca611258c84d0dc6
qwen3,hotpotqa_long,22,DT_original,content_P1,1,0.3,all_body_tokens,960,928,27,2,2,positive_sum,full,152982a618e2afd6d9ca5f5b5684dc7f992f51805705fff1959ddc3c93ddc722,source_v2_full_recall,9ed685b28b1fd97d04d804def7d1a71a3416d880d354721d1c170adcafd1a78a
qwen3,hotpotqa_long,23,DT_original,content_P1,1,0.3,all_body_tokens,402,392,10,3,3,positive_sum,full,160db6bf69d5c4d966b0c27083841c36334f4f4bfc00c92eabeb23df479b6aa4,source_v2_full_recall,98717cbf5ee5fd83b332b8e36b64a0a9ad55e03d80930b615a1315a6a620d84d
qwen3,hotpotqa_long,24,DT_original,content_P1,0,0.3,all_body_tokens,355,331,10,2,3,positive_sum,full,e2ce8f9cf6beedc79e112fbb3f82407af37a139bf56a02519f8510f14bf04f10,source_v2_full_recall,6f9303c40d3ef69557e3a421fd626622e1cbbc6a7f5e16e550eccf6e426e2d4c
qwen3,hotpotqa_long,25,DT_original,content_P1,1,0.3,all_body_tokens,532,528,16,4,4,positive_sum,full,e4e012f3f682d31dc9f21841ca4b4276f69aa1b2de29adce1e789ece7329ed23,source_v2_full_recall,ed3914324e6312dbbeaf2ee9a4c656d6c3b686577a079f1586d363451d0b2306
qwen3,hotpotqa_long,26,DT_original,content_P1,1,0.3,all_body_tokens,318,305,5,2,2,positive_sum,full,2e0ca85919df0d6cafad5851892bbc3d9c93e0731b529e7376c6b4050bb026af,source_v2_full_recall,de2ff2b63ae9acc740a5b917087663ae56d032e7033b7b5e80660f973c76362b
qwen3,hotpotqa_long,27,DT_original,content_P1,1,0.3,all_body_tokens,516,507,16,2,2,positive_sum,full,1d5960dd30cbe98ef3f4df3e05e0f1822398fcd20a387266f4a6f0ed61f4c176,source_v2_full_recall,849d1ce5339c3223a03a55d7ee7f1ccfcde6d2f2d706fd9f2a4d089169880d7a
qwen3,hotpotqa_long,28,DT_original,content_P1,1,0.3,all_body_tokens,287,234,5,3,3,positive_sum,full,b234519ffccd66b1b5e2ad621fbc2eb6e382edc9da6909aff7ba1b6d9cc1bc37,source_v2_full_recall,bdac8df473188716d77a42bdf18cd368f6d8a511b7a08bccc342ab2b90db80c4
qwen3,hotpotqa_long,29,DT_original,content_P1,1,0.3,all_body_tokens,269,235,6,3,3,positive_sum,full,12d3bde4e0fef477b5b8fce49cb780e0c93f89732f28740ef30b2c2d6b34fc43,source_v2_full_recall,8e55e05fd17abf20f201fa021446fd8350a7015fed03e668b421058171d6f384
qwen3,hotpotqa_long,30,DT_original,content_P1,1,0.3,all_body_tokens,384,367,11,2,2,positive_sum,full,f858f94965df80eba503f062686f51cbac22fc8e8bcea3594719f16f1fb6cbbb,source_v2_full_recall,db4331e4d459cd2ae52a2c217f0125298245e38b65524e01b677821603732a08
qwen3,hotpotqa_long,31,DT_original,content_P1,1,0.3,all_body_tokens,539,517,12,2,2,positive_sum,full,8c688b99546286876a5a929a243a9a5d950fcfa99428a826728211dc4eedd770,source_v2_full_recall,92e94bfe8eb3aaa32d093186305a3a3bd85c63c4500f38ce643bb9966d0a37eb
qwen3,hotpotqa_long,32,DT_original,content_P1,1,0.3,all_body_tokens,358,334,7,3,3,positive_sum,full,76ffafbf0f199021b5b3af908891e9dde71b6a395a84267b760e14adddeecafe,source_v2_full_recall,e82867a17e9e2e66ae9748abc4cb3d5b4c3d79b559b3f717469d6d7a29ca991f
qwen3,hotpotqa_long,33,DT_original,content_P1,1,0.3,all_body_tokens,329,319,6,3,3,positive_sum,full,e6f593041274d1f4154e4591f5b9eb42a7bebe8174eae514b91d2bedb4f4a0e8,source_v2_full_recall,da0247e509f1bdf3dd67258a59d065344fa95978d495b9e33ddba04c1a03011a
qwen3,hotpotqa_long,34,DT_original,content_P1,1,0.3,all_body_tokens,311,308,10,2,2,positive_sum,full,340be160ce2cd4d8286e37b9443566e8b18b13f4e32aba2b52686e0e470288c3,source_v2_full_recall,b24fae70ad4a145c527fb949b120320ffa8ddfd6535f00ba3bd5c225be48ca28
qwen3,hotpotqa_long,35,DT_original,content_P1,1,0.3,all_body_tokens,363,350,12,3,3,positive_sum,full,f1fb5057c13357e03ef2375b6d9b6f009d981ff4da28ca64a04f43bf48d39015,source_v2_full_recall,7cb699f4ae01051634d622a759067cae22bf11f71a2ec0139a01b56fa7c56c22
qwen3,hotpotqa_long,36,DT_original,content_P1,1,0.3,all_body_tokens,464,445,15,2,2,positive_sum,full,86cfe7c38ec1278df15d09960429b3658e0d499a4d7b282af52f2a4ab83b678f,source_v2_full_recall,ab7185754d5fb61cbd63b2fe1d1b3e514c862d13ff782d7f0eed95f7cc0c5dfa
qwen3,hotpotqa_long,37,DT_original,content_P1,1,0.3,all_body_tokens,355,298,8,2,2,positive_sum,full,1b6ba36ac201f44ee981735184f12476de54ea643c31415fab289b4409988237,source_v2_full_recall,9f856df5cd1505ce27167498802e20fcd7099e56f187ae39d0c26e0beb87f418
qwen3,hotpotqa_long,38,DT_original,content_P1,1,0.3,all_body_tokens,391,383,10,2,2,positive_sum,full,b60166fabe4615da88ad723e73938b60f3e3586f06bf7c17349a5c02a1379fb0,source_v2_full_recall,fdf0cb976bf933c7af99f8bf734b36bf8555cbb358a4277778adb10689029751
