dataset,index,method,recall,recall_metric,recall_fraction,recall_budget_unit,recall_target_mode,recall_input_sha256,recovery_attribution_seconds
vt_h2_c3,3,FT_K1,0.8148148148148148,token_recall,0.1,eligible_body_tokens,answer_only,22c81996966d6cc2973f64bcf7c53c019509c6aaed0459f2e13a73f366d436ff,0.6910299845039845
vt_h2_c3,3,ifr-tokenwise,0.8518518518518519,token_recall,0.1,eligible_body_tokens,answer_only,22c81996966d6cc2973f64bcf7c53c019509c6aaed0459f2e13a73f366d436ff,4.306198816746473
vt_h2_c3,3,FT_K3,0.8148148148148148,token_recall,0.1,eligible_body_tokens,answer_only,22c81996966d6cc2973f64bcf7c53c019509c6aaed0459f2e13a73f366d436ff,3.8511051945388317
vt_h2_c3,4,DT,0.8666666666666667,token_recall,0.1,eligible_body_tokens,answer_only,a80c5bab2a57b6659710381449c0d373a945d0dcf9e56ef9db38e8ad5cd7ea0c,1.2086494155228138
vt_h2_c3,4,FT_K1,0.6333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,a80c5bab2a57b6659710381449c0d373a945d0dcf9e56ef9db38e8ad5cd7ea0c,0.7646682374179363
vt_h2_c3,4,ifr-tokenwise,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,a80c5bab2a57b6659710381449c0d373a945d0dcf9e56ef9db38e8ad5cd7ea0c,4.516792539507151
vt_h2_c3,4,FT_K3,0.6333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,a80c5bab2a57b6659710381449c0d373a945d0dcf9e56ef9db38e8ad5cd7ea0c,3.9581721611320972
vt_h2_c3,5,DT,0.8333333333333334,token_recall,0.1,eligible_body_tokens,answer_only,04f54d9e17d1fba2a4a1119279bf46afba86ff00a91bd4667fa7682dc6e2a6d1,1.2272233814001083
vt_h2_c3,5,FT_K1,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,04f54d9e17d1fba2a4a1119279bf46afba86ff00a91bd4667fa7682dc6e2a6d1,0.7817677818238735
vt_h2_c3,5,ifr-tokenwise,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,04f54d9e17d1fba2a4a1119279bf46afba86ff00a91bd4667fa7682dc6e2a6d1,4.574968606233597
vt_h2_c3,5,FT_K3,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,04f54d9e17d1fba2a4a1119279bf46afba86ff00a91bd4667fa7682dc6e2a6d1,4.062334310263395
vt_h2_c3,6,DT,0.8275862068965517,token_recall,0.1,eligible_body_tokens,answer_only,19d4022c3d06d8358f8eea4f2fc684591a1588e897a834e2982d21c0cd2da2e6,4.087520312517881
vt_h2_c3,6,FT_K1,0.7931034482758621,token_recall,0.1,eligible_body_tokens,answer_only,19d4022c3d06d8358f8eea4f2fc684591a1588e897a834e2982d21c0cd2da2e6,0.6651386022567749
vt_h2_c3,6,ifr-tokenwise,0.8275862068965517,token_recall,0.1,eligible_body_tokens,answer_only,19d4022c3d06d8358f8eea4f2fc684591a1588e897a834e2982d21c0cd2da2e6,4.438236691057682
vt_h2_c3,6,FT_K3,0.7931034482758621,token_recall,0.1,eligible_body_tokens,answer_only,19d4022c3d06d8358f8eea4f2fc684591a1588e897a834e2982d21c0cd2da2e6,17.17357738688588
vt_h2_c3,7,DT,0.8571428571428571,token_recall,0.1,eligible_body_tokens,answer_only,0567cc6787810ab023d9b82765ec3a1c0d26997741e4f2dc510e817db91912ca,1.1961752697825432
vt_h2_c3,7,FT_K1,0.6071428571428571,token_recall,0.1,eligible_body_tokens,answer_only,0567cc6787810ab023d9b82765ec3a1c0d26997741e4f2dc510e817db91912ca,0.6365347392857075
vt_h2_c3,7,ifr-tokenwise,0.7857142857142857,token_recall,0.1,eligible_body_tokens,answer_only,0567cc6787810ab023d9b82765ec3a1c0d26997741e4f2dc510e817db91912ca,4.2954430021345615
vt_h2_c3,7,FT_K3,0.6071428571428571,token_recall,0.1,eligible_body_tokens,answer_only,0567cc6787810ab023d9b82765ec3a1c0d26997741e4f2dc510e817db91912ca,0.9727187342941761
vt_h2_c3,8,DT,0.8064516129032258,token_recall,0.1,eligible_body_tokens,answer_only,fa2d14e8ed572109c2a57bf8d78b8e153394e966785b700b707be04f76c2c15b,3.7983184680342674
vt_h2_c3,8,FT_K1,0.6451612903225806,token_recall,0.1,eligible_body_tokens,answer_only,fa2d14e8ed572109c2a57bf8d78b8e153394e966785b700b707be04f76c2c15b,0.8185506127774715
vt_h2_c3,8,ifr-tokenwise,0.7741935483870968,token_recall,0.1,eligible_body_tokens,answer_only,fa2d14e8ed572109c2a57bf8d78b8e153394e966785b700b707be04f76c2c15b,4.708289880305529
vt_h2_c3,8,FT_K3,0.6451612903225806,token_recall,0.1,eligible_body_tokens,answer_only,fa2d14e8ed572109c2a57bf8d78b8e153394e966785b700b707be04f76c2c15b,20.343289125710726
vt_h2_c3,9,DT,0.6785714285714286,token_recall,0.1,eligible_body_tokens,answer_only,e4b7b40fe9e3dcf69b03afaaa79a255b654918f79f2bbffdc935e2bcd972d55d,1.1978077851235867
vt_h2_c3,9,FT_K1,0.6785714285714286,token_recall,0.1,eligible_body_tokens,answer_only,e4b7b40fe9e3dcf69b03afaaa79a255b654918f79f2bbffdc935e2bcd972d55d,0.8269585445523262
vt_h2_c3,9,ifr-tokenwise,0.7857142857142857,token_recall,0.1,eligible_body_tokens,answer_only,e4b7b40fe9e3dcf69b03afaaa79a255b654918f79f2bbffdc935e2bcd972d55d,4.494072332978249
vt_h2_c3,9,FT_K3,0.6785714285714286,token_recall,0.1,eligible_body_tokens,answer_only,e4b7b40fe9e3dcf69b03afaaa79a255b654918f79f2bbffdc935e2bcd972d55d,4.104793284088373
vt_h2_c3,10,DT,0.7777777777777778,token_recall,0.1,eligible_body_tokens,answer_only,700bbc81c33c51829c99668498b240c83da503bda158b250364a40b12b02b4fc,1.1931439116597176
vt_h2_c3,10,FT_K1,0.7777777777777778,token_recall,0.1,eligible_body_tokens,answer_only,700bbc81c33c51829c99668498b240c83da503bda158b250364a40b12b02b4fc,0.8140716254711151
vt_h2_c3,10,ifr-tokenwise,0.8148148148148148,token_recall,0.1,eligible_body_tokens,answer_only,700bbc81c33c51829c99668498b240c83da503bda158b250364a40b12b02b4fc,4.417610444128513
vt_h2_c3,10,FT_K3,0.7777777777777778,token_recall,0.1,eligible_body_tokens,answer_only,700bbc81c33c51829c99668498b240c83da503bda158b250364a40b12b02b4fc,1.1640745624899864
vt_h2_c3,11,DT,0.875,token_recall,0.1,eligible_body_tokens,answer_only,0c2492979680fc92ba0b2e1ea376365e92b72f23d20060768b5658ca06410104,1.2267965152859688
vt_h2_c3,11,FT_K1,0.65625,token_recall,0.1,eligible_body_tokens,answer_only,0c2492979680fc92ba0b2e1ea376365e92b72f23d20060768b5658ca06410104,0.7547997795045376
vt_h2_c3,11,ifr-tokenwise,0.78125,token_recall,0.1,eligible_body_tokens,answer_only,0c2492979680fc92ba0b2e1ea376365e92b72f23d20060768b5658ca06410104,4.646914094686508
vt_h2_c3,11,FT_K3,0.65625,token_recall,0.1,eligible_body_tokens,answer_only,0c2492979680fc92ba0b2e1ea376365e92b72f23d20060768b5658ca06410104,1.1077104695141315
vt_h2_c3,12,DT,0.7241379310344828,token_recall,0.1,eligible_body_tokens,answer_only,031e68b3b0c5c3b7ac86245f344d66df929efe7b8e7f9c6511b1bdececce7a38,1.2357158362865448
vt_h2_c3,12,FT_K1,0.5517241379310345,token_recall,0.1,eligible_body_tokens,answer_only,031e68b3b0c5c3b7ac86245f344d66df929efe7b8e7f9c6511b1bdececce7a38,0.8717075549066067
vt_h2_c3,12,ifr-tokenwise,0.7241379310344828,token_recall,0.1,eligible_body_tokens,answer_only,031e68b3b0c5c3b7ac86245f344d66df929efe7b8e7f9c6511b1bdececce7a38,4.662587825208902
vt_h2_c3,12,FT_K3,0.5517241379310345,token_recall,0.1,eligible_body_tokens,answer_only,031e68b3b0c5c3b7ac86245f344d66df929efe7b8e7f9c6511b1bdececce7a38,4.245767209678888
vt_h2_c3,13,DT,0.8214285714285714,token_recall,0.1,eligible_body_tokens,answer_only,5211d38cba65d1b819e9dd5d4ed8cb40ab5b703960cf82ede504fbeaad459309,1.2241449765861034
vt_h2_c3,13,FT_K1,0.6428571428571429,token_recall,0.1,eligible_body_tokens,answer_only,5211d38cba65d1b819e9dd5d4ed8cb40ab5b703960cf82ede504fbeaad459309,0.7717155404388905
vt_h2_c3,13,ifr-tokenwise,0.75,token_recall,0.1,eligible_body_tokens,answer_only,5211d38cba65d1b819e9dd5d4ed8cb40ab5b703960cf82ede504fbeaad459309,4.438466943800449
vt_h2_c3,13,FT_K3,0.6428571428571429,token_recall,0.1,eligible_body_tokens,answer_only,5211d38cba65d1b819e9dd5d4ed8cb40ab5b703960cf82ede504fbeaad459309,3.9825659841299057
vt_h2_c3,14,DT,0.7857142857142857,token_recall,0.1,eligible_body_tokens,answer_only,e26a921e2a232b358f1257dee671a13c472ced266210a456700b5a80aad1e8af,1.2414389550685883
vt_h2_c3,14,FT_K1,0.6071428571428571,token_recall,0.1,eligible_body_tokens,answer_only,e26a921e2a232b358f1257dee671a13c472ced266210a456700b5a80aad1e8af,0.8621051870286465
vt_h2_c3,14,ifr-tokenwise,0.75,token_recall,0.1,eligible_body_tokens,answer_only,e26a921e2a232b358f1257dee671a13c472ced266210a456700b5a80aad1e8af,4.540708422660828
vt_h2_c3,14,FT_K3,0.6071428571428571,token_recall,0.1,eligible_body_tokens,answer_only,e26a921e2a232b358f1257dee671a13c472ced266210a456700b5a80aad1e8af,4.173039212822914
vt_h2_c3,15,DT,0.7666666666666667,token_recall,0.1,eligible_body_tokens,answer_only,6ac354349925237b690f8869b196eba65fd36e41a64ad1d0c4d6fb1d5630f2c3,1.2197924368083477
vt_h2_c3,15,FT_K1,0.6,token_recall,0.1,eligible_body_tokens,answer_only,6ac354349925237b690f8869b196eba65fd36e41a64ad1d0c4d6fb1d5630f2c3,0.8408625423908234
vt_h2_c3,15,ifr-tokenwise,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,6ac354349925237b690f8869b196eba65fd36e41a64ad1d0c4d6fb1d5630f2c3,4.634386658668518
vt_h2_c3,15,FT_K3,0.6,token_recall,0.1,eligible_body_tokens,answer_only,6ac354349925237b690f8869b196eba65fd36e41a64ad1d0c4d6fb1d5630f2c3,1.186209563165903
vt_h2_c3,16,DT,0.6551724137931034,token_recall,0.1,eligible_body_tokens,answer_only,57c187b06d134cd3d6dc72a779f85946bd405cb7b36864dc9c81e7dc1c2b5926,1.2186750806868076
vt_h2_c3,16,FT_K1,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,57c187b06d134cd3d6dc72a779f85946bd405cb7b36864dc9c81e7dc1c2b5926,0.6908230744302273
vt_h2_c3,16,ifr-tokenwise,0.7586206896551724,token_recall,0.1,eligible_body_tokens,answer_only,57c187b06d134cd3d6dc72a779f85946bd405cb7b36864dc9c81e7dc1c2b5926,4.47438995167613
vt_h2_c3,16,FT_K3,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,57c187b06d134cd3d6dc72a779f85946bd405cb7b36864dc9c81e7dc1c2b5926,1.0075178854167461
vt_h2_c3,17,DT,0.7586206896551724,token_recall,0.1,eligible_body_tokens,answer_only,64edb7482aeef90843c74522d36b2771fbde002a9f16efb0387734769864f9ec,1.2196783758699894
vt_h2_c3,17,FT_K1,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,64edb7482aeef90843c74522d36b2771fbde002a9f16efb0387734769864f9ec,0.8059360049664974
vt_h2_c3,17,ifr-tokenwise,0.7586206896551724,token_recall,0.1,eligible_body_tokens,answer_only,64edb7482aeef90843c74522d36b2771fbde002a9f16efb0387734769864f9ec,4.721800599247217
vt_h2_c3,17,FT_K3,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,64edb7482aeef90843c74522d36b2771fbde002a9f16efb0387734769864f9ec,1.1539998464286327
vt_h2_c3,18,DT,0.8928571428571429,token_recall,0.1,eligible_body_tokens,answer_only,afdd6902fe4497878996b6254fc2a44adf862c4a81a6d9373b166470ffc1edc1,1.2429671101272106
vt_h2_c3,18,FT_K1,0.6785714285714286,token_recall,0.1,eligible_body_tokens,answer_only,afdd6902fe4497878996b6254fc2a44adf862c4a81a6d9373b166470ffc1edc1,0.8747802153229713
vt_h2_c3,18,ifr-tokenwise,0.75,token_recall,0.1,eligible_body_tokens,answer_only,afdd6902fe4497878996b6254fc2a44adf862c4a81a6d9373b166470ffc1edc1,4.562386989593506
vt_h2_c3,18,FT_K3,0.6785714285714286,token_recall,0.1,eligible_body_tokens,answer_only,afdd6902fe4497878996b6254fc2a44adf862c4a81a6d9373b166470ffc1edc1,1.252632662653923
vt_h2_c3,19,DT,0.896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,860fe21cf8b194c0eaa7d1e998ad4f6081fb1eaf294fe2ab0feaaab0aafe526e,1.2492416761815548
vt_h2_c3,19,FT_K1,0.7241379310344828,token_recall,0.1,eligible_body_tokens,answer_only,860fe21cf8b194c0eaa7d1e998ad4f6081fb1eaf294fe2ab0feaaab0aafe526e,0.7670471593737602
vt_h2_c3,19,ifr-tokenwise,0.7586206896551724,token_recall,0.1,eligible_body_tokens,answer_only,860fe21cf8b194c0eaa7d1e998ad4f6081fb1eaf294fe2ab0feaaab0aafe526e,4.581549368798733
vt_h2_c3,19,FT_K3,0.7241379310344828,token_recall,0.1,eligible_body_tokens,answer_only,860fe21cf8b194c0eaa7d1e998ad4f6081fb1eaf294fe2ab0feaaab0aafe526e,1.1473996490240097
vt_h2_c3,20,DT,0.8214285714285714,token_recall,0.1,eligible_body_tokens,answer_only,cfbfcd055bdd6bb835532d076eeb71db59776bf234ff66d1741b52494e139959,1.2446730583906174
vt_h2_c3,20,FT_K1,0.7142857142857143,token_recall,0.1,eligible_body_tokens,answer_only,cfbfcd055bdd6bb835532d076eeb71db59776bf234ff66d1741b52494e139959,0.7159065715968609
vt_h2_c3,20,ifr-tokenwise,0.7857142857142857,token_recall,0.1,eligible_body_tokens,answer_only,cfbfcd055bdd6bb835532d076eeb71db59776bf234ff66d1741b52494e139959,4.384016625583172
vt_h2_c3,20,FT_K3,0.7142857142857143,token_recall,0.1,eligible_body_tokens,answer_only,cfbfcd055bdd6bb835532d076eeb71db59776bf234ff66d1741b52494e139959,3.8638321608304977
vt_h2_c3,21,DT,0.76,token_recall,0.1,eligible_body_tokens,answer_only,e050e5618fa166c1a7774313ee7da021c3f0c5ed4253269b347ea8c8b59e3ad8,1.2597024850547314
vt_h2_c3,21,FT_K1,0.6,token_recall,0.1,eligible_body_tokens,answer_only,e050e5618fa166c1a7774313ee7da021c3f0c5ed4253269b347ea8c8b59e3ad8,0.896579135209322
vt_h2_c3,21,ifr-tokenwise,0.72,token_recall,0.1,eligible_body_tokens,answer_only,e050e5618fa166c1a7774313ee7da021c3f0c5ed4253269b347ea8c8b59e3ad8,4.3399377427995205
vt_h2_c3,21,FT_K3,0.6,token_recall,0.1,eligible_body_tokens,answer_only,e050e5618fa166c1a7774313ee7da021c3f0c5ed4253269b347ea8c8b59e3ad8,1.2680500447750092
vt_h2_c3,22,DT,0.8333333333333334,token_recall,0.1,eligible_body_tokens,answer_only,1f6d0a7aeaf7a31faca6fa08e2b9ed38db39bca9b4f07c3477ec745d356a60a8,1.196109127253294
vt_h2_c3,22,FT_K1,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,1f6d0a7aeaf7a31faca6fa08e2b9ed38db39bca9b4f07c3477ec745d356a60a8,0.8216532282531261
vt_h2_c3,22,ifr-tokenwise,0.7666666666666667,token_recall,0.1,eligible_body_tokens,answer_only,1f6d0a7aeaf7a31faca6fa08e2b9ed38db39bca9b4f07c3477ec745d356a60a8,4.5803527273237705
vt_h2_c3,22,FT_K3,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,1f6d0a7aeaf7a31faca6fa08e2b9ed38db39bca9b4f07c3477ec745d356a60a8,1.1696264147758484
vt_h2_c3,23,DT,0.8,token_recall,0.1,eligible_body_tokens,answer_only,59675127624854b6a7435f7f5fa0eaa17b7370919f76f94c83c128a593508114,1.1968696601688862
vt_h2_c3,23,FT_K1,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,59675127624854b6a7435f7f5fa0eaa17b7370919f76f94c83c128a593508114,0.8128906898200512
vt_h2_c3,23,ifr-tokenwise,0.8333333333333334,token_recall,0.1,eligible_body_tokens,answer_only,59675127624854b6a7435f7f5fa0eaa17b7370919f76f94c83c128a593508114,4.603134136646986
vt_h2_c3,23,FT_K3,0.7333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,59675127624854b6a7435f7f5fa0eaa17b7370919f76f94c83c128a593508114,1.1560200117528439
vt_h2_c3,24,DT,0.8333333333333334,token_recall,0.1,eligible_body_tokens,answer_only,d7c457aea06d46336c1c5765bb85e77f46cf28c9f7028451a343bf9643321b4b,1.2103620320558548
vt_h2_c3,24,FT_K1,0.6,token_recall,0.1,eligible_body_tokens,answer_only,d7c457aea06d46336c1c5765bb85e77f46cf28c9f7028451a343bf9643321b4b,0.8136975131928921
vt_h2_c3,24,ifr-tokenwise,0.7666666666666667,token_recall,0.1,eligible_body_tokens,answer_only,d7c457aea06d46336c1c5765bb85e77f46cf28c9f7028451a343bf9643321b4b,4.593069415539503
vt_h2_c3,24,FT_K3,0.6,token_recall,0.1,eligible_body_tokens,answer_only,d7c457aea06d46336c1c5765bb85e77f46cf28c9f7028451a343bf9643321b4b,1.1587391160428524
vt_h2_c3,25,DT,0.6666666666666666,token_recall,0.1,eligible_body_tokens,answer_only,20de9ba7d32a4723a46a1edc87e49fe14c4ee011ae4f851cdb9fb0b1aef6c23b,1.197629563510418
vt_h2_c3,25,FT_K1,0.5925925925925926,token_recall,0.1,eligible_body_tokens,answer_only,20de9ba7d32a4723a46a1edc87e49fe14c4ee011ae4f851cdb9fb0b1aef6c23b,0.8156504109501839
vt_h2_c3,25,ifr-tokenwise,0.7037037037037037,token_recall,0.1,eligible_body_tokens,answer_only,20de9ba7d32a4723a46a1edc87e49fe14c4ee011ae4f851cdb9fb0b1aef6c23b,4.499166999012232
vt_h2_c3,25,FT_K3,0.5925925925925926,token_recall,0.1,eligible_body_tokens,answer_only,20de9ba7d32a4723a46a1edc87e49fe14c4ee011ae4f851cdb9fb0b1aef6c23b,1.1547221057116985
vt_h2_c3,26,DT,0.9285714285714286,token_recall,0.1,eligible_body_tokens,answer_only,64a5bce5edbe3421967caba70c2e90cbef28d5059663a25a737e8099a0ceb569,1.195654071867466
vt_h2_c3,26,FT_K1,0.7857142857142857,token_recall,0.1,eligible_body_tokens,answer_only,64a5bce5edbe3421967caba70c2e90cbef28d5059663a25a737e8099a0ceb569,0.818573210388422
vt_h2_c3,26,ifr-tokenwise,0.8214285714285714,token_recall,0.1,eligible_body_tokens,answer_only,64a5bce5edbe3421967caba70c2e90cbef28d5059663a25a737e8099a0ceb569,4.510066341608763
vt_h2_c3,26,FT_K3,0.7857142857142857,token_recall,0.1,eligible_body_tokens,answer_only,64a5bce5edbe3421967caba70c2e90cbef28d5059663a25a737e8099a0ceb569,1.1538676396012306
vt_h2_c3,27,DT,0.896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,2c6fba699fd108c405e673a540cd0109b804eb5be179fbbb1b1755c9fa132985,1.2272142730653286
vt_h2_c3,27,FT_K1,0.6206896551724138,token_recall,0.1,eligible_body_tokens,answer_only,2c6fba699fd108c405e673a540cd0109b804eb5be179fbbb1b1755c9fa132985,0.8376113213598728
vt_h2_c3,27,ifr-tokenwise,0.7241379310344828,token_recall,0.1,eligible_body_tokens,answer_only,2c6fba699fd108c405e673a540cd0109b804eb5be179fbbb1b1755c9fa132985,4.646616384387016
vt_h2_c3,27,FT_K3,0.6206896551724138,token_recall,0.1,eligible_body_tokens,answer_only,2c6fba699fd108c405e673a540cd0109b804eb5be179fbbb1b1755c9fa132985,1.1768645644187927
vt_h2_c3,28,DT,0.8846153846153846,token_recall,0.1,eligible_body_tokens,answer_only,0e6adac674a81da45fcb35eafa0bd2d3af92deb83973d1e201dd129256bcc5ff,1.194577407091856
vt_h2_c3,28,FT_K1,0.7692307692307693,token_recall,0.1,eligible_body_tokens,answer_only,0e6adac674a81da45fcb35eafa0bd2d3af92deb83973d1e201dd129256bcc5ff,0.6613250263035297
vt_h2_c3,28,ifr-tokenwise,0.8076923076923077,token_recall,0.1,eligible_body_tokens,answer_only,0e6adac674a81da45fcb35eafa0bd2d3af92deb83973d1e201dd129256bcc5ff,4.247614026069641
vt_h2_c3,28,FT_K3,0.7692307692307693,token_recall,0.1,eligible_body_tokens,answer_only,0e6adac674a81da45fcb35eafa0bd2d3af92deb83973d1e201dd129256bcc5ff,0.9982613697648048
vt_h2_c3,29,DT,0.8148148148148148,token_recall,0.1,eligible_body_tokens,answer_only,0a71f5d96090d2693ff8efb3d6382b84974b8bb2013f72d7fe36a1d4a3ffe1e3,1.2048990465700626
vt_h2_c3,29,FT_K1,0.5185185185185185,token_recall,0.1,eligible_body_tokens,answer_only,0a71f5d96090d2693ff8efb3d6382b84974b8bb2013f72d7fe36a1d4a3ffe1e3,0.7143759988248348
vt_h2_c3,29,ifr-tokenwise,0.7407407407407407,token_recall,0.1,eligible_body_tokens,answer_only,0a71f5d96090d2693ff8efb3d6382b84974b8bb2013f72d7fe36a1d4a3ffe1e3,4.310401279479265
vt_h2_c3,29,FT_K3,0.5185185185185185,token_recall,0.1,eligible_body_tokens,answer_only,0a71f5d96090d2693ff8efb3d6382b84974b8bb2013f72d7fe36a1d4a3ffe1e3,1.038853157311678
vt_h2_c3,30,DT,0.8214285714285714,token_recall,0.1,eligible_body_tokens,answer_only,803e736f26d218652b5d9eff031a9bf3467214eb518f4822e5e3d0aa83919be0,1.1958594992756844
vt_h2_c3,30,FT_K1,0.6785714285714286,token_recall,0.1,eligible_body_tokens,answer_only,803e736f26d218652b5d9eff031a9bf3467214eb518f4822e5e3d0aa83919be0,0.813313540071249
vt_h2_c3,30,ifr-tokenwise,0.7857142857142857,token_recall,0.1,eligible_body_tokens,answer_only,803e736f26d218652b5d9eff031a9bf3467214eb518f4822e5e3d0aa83919be0,4.504875313490629
vt_h2_c3,30,FT_K3,0.6785714285714286,token_recall,0.1,eligible_body_tokens,answer_only,803e736f26d218652b5d9eff031a9bf3467214eb518f4822e5e3d0aa83919be0,1.1677002720534801
vt_h2_c3,31,DT,0.8333333333333334,token_recall,0.1,eligible_body_tokens,answer_only,4ba2ce918aedd95ad97fb78a14824bda3341d0ce5d8cb8c10dcf7f1b0a4cef4b,1.2239817902445793
vt_h2_c3,31,FT_K1,0.6333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,4ba2ce918aedd95ad97fb78a14824bda3341d0ce5d8cb8c10dcf7f1b0a4cef4b,0.8332123570144176
vt_h2_c3,31,ifr-tokenwise,0.8,token_recall,0.1,eligible_body_tokens,answer_only,4ba2ce918aedd95ad97fb78a14824bda3341d0ce5d8cb8c10dcf7f1b0a4cef4b,4.659772455692291
vt_h2_c3,31,FT_K3,0.6333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,4ba2ce918aedd95ad97fb78a14824bda3341d0ce5d8cb8c10dcf7f1b0a4cef4b,20.501152507960796
vt_h2_c3,32,DT,0.7,token_recall,0.1,eligible_body_tokens,answer_only,1e54bf67c6c779ba51599cf71fb211b0a8a0eda88048e79e0ec2f2604009e54f,1.2311536148190498
vt_h2_c3,32,FT_K1,0.6333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,1e54bf67c6c779ba51599cf71fb211b0a8a0eda88048e79e0ec2f2604009e54f,0.8394141383469105
vt_h2_c3,32,ifr-tokenwise,0.7666666666666667,token_recall,0.1,eligible_body_tokens,answer_only,1e54bf67c6c779ba51599cf71fb211b0a8a0eda88048e79e0ec2f2604009e54f,4.661154713481665
vt_h2_c3,32,FT_K3,0.6333333333333333,token_recall,0.1,eligible_body_tokens,answer_only,1e54bf67c6c779ba51599cf71fb211b0a8a0eda88048e79e0ec2f2604009e54f,1.1937976032495499
vt_h2_c3,33,DT,0.8275862068965517,token_recall,0.1,eligible_body_tokens,answer_only,255d669cb7ac4b84f691c726671a9bf3ae78a379a0e9c3407dafd2a6ce999d1b,1.193852487951517
vt_h2_c3,33,FT_K1,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,255d669cb7ac4b84f691c726671a9bf3ae78a379a0e9c3407dafd2a6ce999d1b,0.6631443351507187
vt_h2_c3,33,ifr-tokenwise,0.7586206896551724,token_recall,0.1,eligible_body_tokens,answer_only,255d669cb7ac4b84f691c726671a9bf3ae78a379a0e9c3407dafd2a6ce999d1b,4.451423026621342
vt_h2_c3,33,FT_K3,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,255d669cb7ac4b84f691c726671a9bf3ae78a379a0e9c3407dafd2a6ce999d1b,0.9965538755059242
